Transformed	matching	Soot.rep(1)	OSA.rep(2)	SPOON.rep(4)	JCG.rep(8)	WALA.rep(16)	JDT(64)	IntersectionID
109	6	"(5)<CallGraphTest: void main(java.lang.String[])>""(5)<CallGraphTest: void main(java.lang.String[])>"	205CallGraphTest.main([Ljava/lang/String;)V:4:2:12:3	123CallGraphTest.main(java.lang.String[]):4:21:12:2	(5)CallGraphTest:main(java.lang.String[]).CallGraphTest.main(java.lang.String[])	93CallGraphTest.main([Ljava/lang/String;)V:5	0CallGraphTest.main(java.lang.String[]):void:CallGraphTest.java:4:1:12:2	95
110	6	"(3)<parser.ParserTest: void <init>()>""(3)<parser.ParserTest: void <init>()>"	212parser.ParserTest.<init>()V:-1:-1:-1:-1	97parser.ParserTest.ParserTest():-1:-1:-1:-1	parser.ParserTest:<init>()parser.ParserTest.<init>()	43parser.ParserTest.<init>()V:3	2parser.ParserTest.<init>():void:ParserTest.java:-1:-1:-1:-1	95
29	6	"(12)<parser.ParserTest: void test()>""(12)<parser.ParserTest: void test()>"	207parser.ParserTest.test()V:11:2:20:3	98parser.ParserTest.test():11:14:20:2	parser.ParserTest:test()parser.ParserTest.test()	44parser.ParserTest.test()V:12	1parser.ParserTest.test():void:ParserTest.java:5:1:20:2	95
111	6	"(3)<anonymAndInner.AnonymAndInnerTest: void <init>()>""(3)<anonymAndInner.AnonymAndInnerTest: void <init>()>"	120anonymAndInner.AnonymAndInnerTest.<init>()V:-1:-1:-1:-1	0anonymAndInner.AnonymAndInnerTest.AnonymAndInnerTest():-1:-1:-1:-1	anonymAndInner.AnonymAndInnerTest:<init>()anonymAndInner.AnonymAndInnerTest.<init>()	46anonymAndInner.AnonymAndInnerTest.<init>()V:3	4anonymAndInner.AnonymAndInnerTest.<init>():void:AnonymAndInnerTest.java:-1:-1:-1:-1	95
112	6	"(55)<anonymAndInner.AnonymAndInnerTest: void test()>""(55)<anonymAndInner.AnonymAndInnerTest: void test()>"	179anonymAndInner.AnonymAndInnerTest.test()V:54:2:58:3	20anonymAndInner.AnonymAndInnerTest.test():54:14:58:2	anonymAndInner.AnonymAndInnerTest:test()anonymAndInner.AnonymAndInnerTest.test()	62anonymAndInner.AnonymAndInnerTest.test()V:55	3anonymAndInner.AnonymAndInnerTest.test():void:AnonymAndInnerTest.java:54:1:58:2	95
113	6	"(5)<initialization.InitializationTest: void <init>()>""(5)<initialization.InitializationTest: void <init>()>"	219initialization.InitializationTest.<init>()V:-1:-1:-1:-1	67initialization.InitializationTest.InitializationTest():-1:-1:-1:-1	initialization.InitializationTest:<init>()initialization.InitializationTest.<init>()	94initialization.InitializationTest.<init>()V:5	6initialization.InitializationTest.<init>():void:InitializationTest.java:-1:-1:-1:-1	95
71	6	"(14)<initialization.InitializationTest: void test()>""(14)<initialization.InitializationTest: void test()>"	214initialization.InitializationTest.test()V:13:5:18:6	68initialization.InitializationTest.test():13:17:18:5	initialization.InitializationTest:test()initialization.InitializationTest.test()	95initialization.InitializationTest.test()V:14	5initialization.InitializationTest.test():void:InitializationTest.java:7:1:18:5	95
114	6	"(3)<generics.GenericsTest: void <init>()>""(3)<generics.GenericsTest: void <init>()>"	233generics.GenericsTest.<init>()V:-1:-1:-1:-1	44generics.GenericsTest.GenericsTest():-1:-1:-1:-1	generics.GenericsTest:<init>()generics.GenericsTest.<init>()	64generics.GenericsTest.<init>()V:3	10generics.GenericsTest.<init>():void:GenericsTest.java:-1:-1:-1:-1	95
25	6	"(13)<generics.GenericsTest: void test()>""(13)<generics.GenericsTest: void test()>"	228generics.GenericsTest.test()V:12:2:28:3	46generics.GenericsTest.test():12:14:28:2	generics.GenericsTest:test()generics.GenericsTest.test()	66generics.GenericsTest.test()V:13	9generics.GenericsTest.test():void:GenericsTest.java:12:1:28:2	95
115	6	"(3)<polimorph.PolimorphTest: void <init>()>""(3)<polimorph.PolimorphTest: void <init>()>"	240polimorph.PolimorphTest.<init>()V:-1:-1:-1:-1	117polimorph.PolimorphTest.PolimorphTest():-1:-1:-1:-1	polimorph.PolimorphTest:<init>()polimorph.PolimorphTest.<init>()	68polimorph.PolimorphTest.<init>()V:3	12polimorph.PolimorphTest.<init>():void:PolimorphTest.java:-1:-1:-1:-1	95
62	6	"(24)<polimorph.PolimorphTest: void test()>""(24)<polimorph.PolimorphTest: void test()>"	235polimorph.PolimorphTest.test()V:23:2:27:3	120polimorph.PolimorphTest.test():23:14:27:2	polimorph.PolimorphTest:test()polimorph.PolimorphTest.test()	90polimorph.PolimorphTest.test()V:24	11polimorph.PolimorphTest.test():void:PolimorphTest.java:23:1:27:2	95
24	6	"(8)<generics.GenericsTest: void genericMethod(helper.Interface)>""(8)<generics.GenericsTest: void genericMethod(helper.Interface)>"	353generics.GenericsTest.genericMethod(Lhelper/Interface;)V:7:2:10:3	45generics.GenericsTest.genericMethod(helper.Interface):7:43:10:2	(8)generics.GenericsTest:genericMethod(helper.Interface)generics.GenericsTest.genericMethod(helper.Interface)	65generics.GenericsTest.genericMethod(Lhelper/Interface;)V:8	53generics.GenericsTest.genericMethod(T):void:GenericsTest.java:4:1:10:2	95
147	4	x	329helper.Interface.foo()V:4:4:4:15	39helper.Interface.foo():-1:-1:-1:-1	helper.Interface:foo()helper.Interface.foo()	x	50helper.Interface.foo():void:Interface.java:4:3:4:14	78
116	6	"(3)<generics.Generic1: void <init>()>""(3)<generics.Generic1: void <init>()>"	161generics.Generic1.<init>()V:-1:-1:-1:-1	13generics.Generic1.Generic1():-1:-1:-1:-1	generics.Generic1:<init>()generics.Generic1.<init>()	12generics.Generic1.<init>()V:3	54generics.Generic1<helper.Interface>.<init>():void:ForParser.java:-1:-1:-1:-1	95
26	5	"(9)<generics.Generic1: void generic(helper.Interface)>""(9)<generics.Generic1: void generic(helper.Interface)>"	166generics.Generic1.generic(Lhelper/Interface;)V:8:2:11:3	15generics.Generic1.generic(helper.Interface):8:14:11:2	generics.Generic1:generic(helper.Interface)generics.Generic1.generic(helper.Interface)	14generics.Generic1.generic(Lhelper/Interface;)V:9	x	31
118	6	"(3)<helper.Child2: void <init>()>""(3)<helper.Child2: void <init>()>"	365helper.Child2.<init>()V:-1:-1:-1:-1	47helper.Child2.Child2():-1:-1:-1:-1	helper.Child2:<init>()helper.Child2.<init>()	4helper.Child2.<init>()V:3	57helper.Child2.<init>():void:Polimorph.java:-1:-1:-1:-1	95
119	6	"(3)<generics.Generic2: void <init>()>""(3)<generics.Generic2: void <init>()>"	335generics.Generic2.<init>()V:-1:-1:-1:-1	40generics.Generic2.Generic2():-1:-1:-1:-1	generics.Generic2:<init>()generics.Generic2.<init>()	35generics.Generic2.<init>()V:3	58generics.Generic2<helper.Interface,generics.Generic1>.<init>():void:ForParser.java:-1:-1:-1:-1	95
27	6	"(8)<generics.Generic2: void generic(helper.Interface,generics.Generic1)>""(8)<generics.Generic2: void generic(helper.Interface,generics.Generic1)>"	336generics.Generic2.generic(Lhelper/Interface;Lgenerics/Generic1;)V:7:2:11:3	41generics.Generic2.generic(helper.Interface,generics.Generic1):7:14:11:2	generics.Generic2:generic(helper.Interface,generics.Generic1)generics.Generic2.generic(helper.Interface,generics.Generic1)	36generics.Generic2.generic(Lhelper/Interface;Lgenerics/Generic1;)V:8	51generics.Generic2<helper.Interface,generics.Generic1>.generic(T;K):void:Generic2.java:4:1:11:2	95
120	6	"(3)<generics.Generic3: void <init>()>""(3)<generics.Generic3: void <init>()>"	350generics.Generic3.<init>()V:-1:-1:-1:-1	42generics.Generic3.Generic3():-1:-1:-1:-1	generics.Generic3:<init>()generics.Generic3.<init>()	11generics.Generic3.<init>()V:3	61generics.Generic3.<init>():void::-1:-1:-1:-1	95
