Connection	matching	Soot(1)	OSA(2)	SPOON(4)	JCG(8)	WALA(16)	JDT(64)	IntersectionID
(84)org.joda.time.convert.StringConverter.setInto(org.joda.time.ReadWritableInterval,java.lang.Object,org.joda.time.Chronology)->(1454)org.joda.time.format.DateTimeFormatter.parseDateTime(java.lang.String)	6	X	X	X	X	X	X	95
(84)org.joda.time.convert.StringConverter.setInto(org.joda.time.ReadWritableInterval,java.lang.Object,org.joda.time.Chronology)->(1606)java.lang.String.indexOf(int)	6	X	X	X	X	X	X	95
(84)org.joda.time.convert.StringConverter.setInto(org.joda.time.ReadWritableInterval,java.lang.Object,org.joda.time.Chronology)->(1607)java.lang.String.substring(int,int)	6	X	X	X	X	X	X	95
(84)org.joda.time.convert.StringConverter.setInto(org.joda.time.ReadWritableInterval,java.lang.Object,org.joda.time.Chronology)->(1608)java.lang.String.substring(int)	6	X	X	X	X	X	X	95
(84)org.joda.time.convert.StringConverter.setInto(org.joda.time.ReadWritableInterval,java.lang.Object,org.joda.time.Chronology)->(1609)java.lang.StringBuilder.<init>()	3	X			X	X		25
(84)org.joda.time.convert.StringConverter.setInto(org.joda.time.ReadWritableInterval,java.lang.Object,org.joda.time.Chronology)->(1610)java.lang.StringBuilder.append(java.lang.String)	3	X			X	X		25
(84)org.joda.time.convert.StringConverter.setInto(org.joda.time.ReadWritableInterval,java.lang.Object,org.joda.time.Chronology)->(1611)java.lang.StringBuilder.toString()	3	X			X	X		25
(84)org.joda.time.convert.StringConverter.setInto(org.joda.time.ReadWritableInterval,java.lang.Object,org.joda.time.Chronology)->(1612)java.lang.IllegalArgumentException.<init>(java.lang.String)	6	X	X	X	X	X	X	95
(84)org.joda.time.convert.StringConverter.setInto(org.joda.time.ReadWritableInterval,java.lang.Object,org.joda.time.Chronology)->(1613)java.lang.String.length()	6	X	X	X	X	X	X	95
(84)org.joda.time.convert.StringConverter.setInto(org.joda.time.ReadWritableInterval,java.lang.Object,org.joda.time.Chronology)->(1614)java.lang.String.charAt(int)	6	X	X	X	X	X	X	95
(84)org.joda.time.convert.StringConverter.setInto(org.joda.time.ReadWritableInterval,java.lang.Object,org.joda.time.Chronology)->(1616)org.joda.time.format.PeriodFormatter.withParseType(org.joda.time.PeriodType)	6	X	X	X	X	X	X	95
(84)org.joda.time.convert.StringConverter.setInto(org.joda.time.ReadWritableInterval,java.lang.Object,org.joda.time.Chronology)->(1617)org.joda.time.format.PeriodFormatter.parsePeriod(java.lang.String)	6	X	X	X	X	X	X	95
(84)org.joda.time.convert.StringConverter.setInto(org.joda.time.ReadWritableInterval,java.lang.Object,org.joda.time.Chronology)->(2012)org.joda.time.format.DateTimeFormatter.withChronology(org.joda.time.Chronology)	6	X	X	X	X	X	X	95
(87)org.joda.time.convert.CalendarConverter.getChronology(java.lang.Object,org.joda.time.Chronology)->(88)org.joda.time.DateTimeZone.getDefault()	6	X	X	X	X	X	X	95
(87)org.joda.time.convert.CalendarConverter.getChronology(java.lang.Object,org.joda.time.Chronology)->(90)org.joda.time.convert.CalendarConverter.getChronology(java.lang.Object,org.joda.time.DateTimeZone)	6	X	X	X	X	X	X	95
(88)org.joda.time.DateTimeZone.getDefault()->(208)org.joda.time.DateTimeZone.forID(java.lang.String)	6	X	X	X	X	X	X	95
(88)org.joda.time.DateTimeZone.getDefault()->(297)java.util.TimeZone.getDefault()	6	X	X	X	X	X	X	95
(88)org.joda.time.DateTimeZone.getDefault()->(298)java.lang.System.getProperty(java.lang.String)	6	X	X	X	X	X	X	95
(88)org.joda.time.DateTimeZone.getDefault()->(3008)java.util.concurrent.atomic.AtomicReference.get()	6	X	X	X	X	X	X	95
(88)org.joda.time.DateTimeZone.getDefault()->(3009)java.util.concurrent.atomic.AtomicReference.compareAndSet(java.lang.Object,java.lang.Object)	6	X	X	X	X	X	X	95
