Connection	matching	Soot(1)	OSA(2)	SPOON(4)	JCG(8)	WALA(16)	JDT(64)	IntersectionID
(54)org.argouml.application.StartCritics.run()->(59)org.argouml.configuration.Configuration.addListener(org.argouml.configuration.ConfigurationKey,java.beans.PropertyChangeListener)	6	X	X	X	X	X	X	95
(54)org.argouml.application.StartCritics.run()->(60)org.argouml.configuration.Configuration.getString(org.argouml.configuration.ConfigurationKey)	6	X	X	X	X	X	X	95
(54)org.argouml.application.StartCritics.run()->(61)org.argouml.application.helpers.ResourceLoaderWrapper.lookupIconResource(java.lang.String)	6	X	X	X	X	X	X	95
(54)org.argouml.application.StartCritics.run()->(62)org.argouml.uml.cognitive.checklist.Init.init()	6	X	X	X	X	X	X	95
(54)org.argouml.application.StartCritics.run()->(63)org.argouml.application.SubsystemUtility.initSubsystem(org.argouml.application.api.InitSubsystem)	6	X	X	X	X	X	X	95
(54)org.argouml.application.StartCritics.run()->(64)org.argouml.cognitive.Designer.theDesigner()	6	X	X	X	X	X	X	95
(54)org.argouml.application.StartCritics.run()->(399)org.argouml.kernel.ProjectManager.getCurrentProject()	6	X	X	X	X	X	X	95
(54)org.argouml.application.StartCritics.run()->(1869)org.argouml.cognitive.Designer.spawnCritiquer(java.lang.Object)	6	X	X	X	X	X	X	95
(54)org.argouml.application.StartCritics.run()->(5461)java.util.logging.Logger.log(java.util.logging.Level,java.lang.String)	6	X	X	X	X	X	X	95
(54)org.argouml.application.StartCritics.run()->(5898)org.argouml.uml.cognitive.critics.InitCognitiveCritics.<init>()	6	X	X	X	X	X	X	95
(54)org.argouml.application.StartCritics.run()->(5899)org.argouml.pattern.cognitive.critics.InitPatternCritics.<init>()	6	X	X	X	X	X	X	95
(54)org.argouml.application.StartCritics.run()->(5900)org.argouml.cognitive.Designer.setClarifier(javax.swing.Icon)	6	X	X	X	X	X	X	95
(54)org.argouml.application.StartCritics.run()->(5901)org.argouml.cognitive.Designer.setDesignerName(java.lang.String)	6	X	X	X	X	X	X	95
(54)org.argouml.application.StartCritics.run()->(5903)org.argouml.cognitive.Designer.getDecisionModel()	6	X	X	X	X	X	X	95
(54)org.argouml.application.StartCritics.run()->(5904)org.argouml.uml.cognitive.critics.ChildGenUML.<init>()	6	X	X	X	X	X	X	95
(54)org.argouml.application.StartCritics.run()->(5906)org.argouml.cognitive.DecisionModel.startConsidering(org.argouml.cognitive.Decision)	6	X	X	X	X	X	X	95
(55)org.argouml.cognitive.Designer.<clinit>()->(40)java.util.logging.Logger.getLogger(java.lang.String)	4	X		X	X	X		29
(55)org.argouml.cognitive.Designer.<clinit>()->(86)org.argouml.configuration.Configuration.makeKey(java.lang.String,java.lang.String)	4	X		X	X	X		29
(55)org.argouml.cognitive.Designer.<clinit>()->(1793)org.argouml.cognitive.Goal.getUnspecifiedGoal()	6	X	X	X	X	X	X	95
(55)org.argouml.cognitive.Designer.<clinit>()->(1867)org.argouml.cognitive.Designer.<init>()	4	X		X	X	X		29
(55)org.argouml.cognitive.Designer.<clinit>()->(5569)java.util.ArrayList.<init>()	6	X	X	X	X	X	X	95
(55)org.argouml.cognitive.Designer.<clinit>()->(5578)java.lang.Class.getName()	4	X		X	X	X		29
(59)org.argouml.configuration.Configuration.addListener(org.argouml.configuration.ConfigurationKey,java.beans.PropertyChangeListener)->(5451)org.argouml.configuration.ConfigurationHandler.addListener(org.argouml.configuration.ConfigurationKey,java.beans.PropertyChangeListener)	6	X	X	X	X	X	X	95
(60)org.argouml.configuration.Configuration.getString(org.argouml.configuration.ConfigurationKey)->(83)org.argouml.configuration.Configuration.getString(org.argouml.configuration.ConfigurationKey,java.lang.String)	6	X	X	X	X	X	X	95
(61)org.argouml.application.helpers.ResourceLoaderWrapper.lookupIconResource(java.lang.String)->(142)org.argouml.application.helpers.ResourceLoader.lookupIconResource(java.lang.String)	6	X	X	X	X	X	X	95
(62)org.argouml.uml.cognitive.checklist.Init.init()->(3907)org.argouml.uml.cognitive.checklist.Init.createChecklists()	6	X	X	X	X	X	X	95
(63)org.argouml.application.SubsystemUtility.initSubsystem(org.argouml.application.api.InitSubsystem)->(75)org.argouml.ui.GUI.getInstance()	6	X	X	X	X	X	X	95
(63)org.argouml.application.SubsystemUtility.initSubsystem(org.argouml.application.api.InitSubsystem)->(5914)org.argouml.ui.GUI.addSettingsTab(org.argouml.application.api.GUISettingsTabInterface)	6	X	X	X	X	X	X	95
(63)org.argouml.application.SubsystemUtility.initSubsystem(org.argouml.application.api.InitSubsystem)->(5915)org.argouml.ui.GUI.addProjectSettingsTab(org.argouml.application.api.GUISettingsTabInterface)	6	X	X	X	X	X	X	95
(70)org.argouml.application.api.Argo.<clinit>()->(42)java.lang.System.getProperty(java.lang.String)	6	X	X	X	X	X	X	95
(70)org.argouml.application.api.Argo.<clinit>()->(85)org.argouml.configuration.Configuration.makeKey(java.lang.String)	4	X		X	X	X		29
(70)org.argouml.application.api.Argo.<clinit>()->(86)org.argouml.configuration.Configuration.makeKey(java.lang.String,java.lang.String)	4	X		X	X	X		29
(70)org.argouml.application.api.Argo.<clinit>()->(87)org.argouml.configuration.Configuration.makeKey(java.lang.String,java.lang.String,java.lang.String)	4	X		X	X	X		29
(70)org.argouml.application.api.Argo.<clinit>()->(88)org.argouml.configuration.Configuration.makeKey(java.lang.String,java.lang.String,java.lang.String,java.lang.String)	4	X		X	X	X		29
(71)org.argouml.application.helpers.ResourceLoaderWrapper.<clinit>()->(40)java.util.logging.Logger.getLogger(java.lang.String)	4	X		X	X	X		29
(71)org.argouml.application.helpers.ResourceLoaderWrapper.<clinit>()->(140)org.argouml.application.helpers.ResourceLoaderWrapper.<init>()	4	X		X	X	X		29
