Connection	matching	Soot(1)	OSA(2)	SPOON(4)	JCG(8)	WALA(16)	JDT(64)	IntersectionID
(53)automata.fsa.FSAStepByStateSimulator.simulateInput(java.lang.String)->(2206)java.util.ArrayList.<init>()	6	X	X	X	X	X	X	95
(53)automata.fsa.FSAStepByStateSimulator.simulateInput(java.lang.String)->(2544)automata.fsa.FSAStepByStateSimulator.getInitialConfigurations(java.lang.String)	6	X	X	X	X	X	X	95
(53)automata.fsa.FSAStepByStateSimulator.simulateInput(java.lang.String)->(2549)automata.fsa.FSAStepByStateSimulator.isAccepted()	6	X	X	X	X	X	X	95
(53)automata.fsa.FSAStepByStateSimulator.simulateInput(java.lang.String)->(2654)java.util.ArrayList.addAll(java.util.Collection)	6	X	X	X	X	X	X	95
(54)automata.fsa.FSAStepWithClosureSimulator.getInitialConfigurations(java.lang.String)->(13)automata.ClosureTaker.getClosure(automata.State,automata.Automaton)	5	X	X	X	X		X	79
(54)automata.fsa.FSAStepWithClosureSimulator.getInitialConfigurations(java.lang.String)->(2285)automata.Automaton.getInitialState()	5	X	X	X	X		X	79
(54)automata.fsa.FSAStepWithClosureSimulator.getInitialConfigurations(java.lang.String)->(2545)automata.fsa.FSAConfiguration.<init>(automata.State,automata.fsa.FSAConfiguration,java.lang.String,java.lang.String)	6	X	X	X	X	X	X	95
(55)automata.fsa.FSAStepWithClosureSimulator.stepConfiguration(automata.Configuration)->(13)automata.ClosureTaker.getClosure(automata.State,automata.Automaton)	5	X	X	X	X		X	79
(55)automata.fsa.FSAStepWithClosureSimulator.stepConfiguration(automata.Configuration)->(51)debug.EDebug.print(java.lang.Object)	5	X	X	X	X		X	79
(55)automata.fsa.FSAStepWithClosureSimulator.stepConfiguration(automata.Configuration)->(1917)java.util.HashSet.<init>()	6	X	X	X	X	X	X	95
(55)automata.fsa.FSAStepWithClosureSimulator.stepConfiguration(automata.Configuration)->(1927)java.lang.String.charAt(int)	5	X	X	X	X		X	79
